Instrument,Committee Name,Committee Position of the Director,Committee Start Date,LEI,Company Name,Officer Rank,Officer Full Name,Officer First Name,Officer Middle Name,Officer Last Name,Officer Start Date,Director Start Date,Position Start Date,Position Description
INPP.L,Audit,Member,2017-12-01,2138002AJT55TI5M4W30,International Public Partnerships Ltd,3,Ms. Julia Bond,Julia,,Bond,NaT,2017-09-01 00:00:00,2017-09-01 00:00:00,Non-Executive Independent Director
INPP.L,Audit,Member,2022-01-01,2138002AJT55TI5M4W30,International Public Partnerships Ltd,4,Ms. Stephanie Coxon,Stephanie,,Coxon,NaT,2022-01-01 00:00:00,2022-01-01 00:00:00,Non-Executive Independent Director
INPP.L,Audit,Member,2020-01-10,2138002AJT55TI5M4W30,International Public Partnerships Ltd,5,Ms. Sally-Ann David,Sally-Ann,,David,NaT,2020-01-10 00:00:00,2020-01-10 00:00:00,Non-Executive Independent Director
INPP.L,Audit,Chairman,2019-02-01,2138002AJT55TI5M4W30,International Public Partnerships Ltd,6,Mr. John Le Poidevin,John,,Le Poidevin,NaT,2016-01-01 00:00:00,2022-05-25 00:00:00,Senior Non-Executive Independent Director
INPP.L,Audit,Member,2020-01-10,2138002AJT55TI5M4W30,International Public Partnerships Ltd,7,Ms. Meriel Catherine Lenfestey,Meriel,Catherine,Lenfestey,NaT,2020-01-10 00:00:00,2020-01-10 00:00:00,Non-Executive Independent Director
IHPI.L,Audit,Member,2018-09-28,213800CYIZKXK9PQYE87,IntegraFin Holdings plc,6,Ms. Victoria Cochrane,Victoria,,Cochrane,NaT,2018-09-28 00:00:00,2021-09-02 00:00:00,Senior Non-Executive Independent Director - Environmental and Social Sustainability
IHPI.L,Audit,Chairman,2019-02-02,213800CYIZKXK9PQYE87,IntegraFin Holdings plc,7,Ms. Caroline J. Banszky,Caroline,J.,Banszky,NaT,2018-08-22 00:00:00,2018-08-22 00:00:00,Independent Non-Executive Director
IHPI.L,Audit,Member,2019-09-04,213800CYIZKXK9PQYE87,IntegraFin Holdings plc,9,Mr. Robert Lister,Robert,,Lister,NaT,2019-06-26 00:00:00,2019-06-26 00:00:00,Independent Non-Executive Director
IHG.L,Audit,Member,,2138007ZFQYRUSLU3J98,InterContinental Hotels Group PLC,12,Mr. Graham Denis Allan,Graham,Denis,Allan,NaT,2010-01-01 00:00:00,2022-01-01 00:00:00,Senior Independent Non-Executive Director
IHG.L,Audit,Member,2023-01-01,2138007ZFQYRUSLU3J98,InterContinental Hotels Group PLC,13,Mr. Arthur William de Haast,Arthur,William,de Haast,NaT,2020-01-01 00:00:00,2020-01-01 00:00:00,Independent Non-Executive Director
IHG.L,Audit,Member,,2138007ZFQYRUSLU3J98,InterContinental Hotels Group PLC,14,Ms. Duriya M. Farooqui,Duriya,M.,Farooqui,NaT,2020-12-07 00:00:00,2020-12-07 00:00:00,Independent Non-Executive Director
IHG.L,Audit,Chairman,2023-03-01,2138007ZFQYRUSLU3J98,InterContinental Hotels Group PLC,15,Dr. Byron Grote,Byron,Elmer,Grote,NaT,2022-07-01 00:00:00,2022-07-01 00:00:00,Independent Non-Executive Director
IHG.L,Audit,Member,,2138007ZFQYRUSLU3J98,InterContinental Hotels Group PLC,17,Ms. Sharon Lee Rothstein,Sharon,Lee,Rothstein,NaT,2020-06-01 00:00:00,2020-06-01 00:00:00,Independent Non-Executive Director
ICP.L,Audit,Member,,549300OGASR5WRKJ8R68,Intermediate Capital Group PLC,8,Ms. Rosemary Leith,Rosemary,,Leith,NaT,2021-02-01 00:00:00,2021-02-01 00:00:00,Non-Executive Independent Director
ICP.L,Audit,Chairman,2022-07-01,549300OGASR5WRKJ8R68,Intermediate Capital Group PLC,9,Mr. Matthew Lester,Matthew,,Lester,NaT,2021-04-01 00:00:00,2021-04-01 00:00:00,Non-Executive Independent Director
ICP.L,Audit,Member,2022-07-01,549300OGASR5WRKJ8R68,Intermediate Capital Group PLC,10,Mr. Michael (Rusty) Nelligan,Michael,,Nelligan,NaT,2016-09-15 00:00:00,2016-09-15 00:00:00,Non-Executive Independent Director
ICP.L,Audit,Member,2018-01-25,549300OGASR5WRKJ8R68,Intermediate Capital Group PLC,11,Ms. Amy L. Schioldager,Amy,L.,Schioldager,NaT,2018-01-25 00:00:00,2018-01-25 00:00:00,Non-Executive Independent Director
ICP.L,Audit,Member,2022-03-05,549300OGASR5WRKJ8R68,Intermediate Capital Group PLC,12,Mr. Andrew F. Sykes,Andrew,F.,Sykes,NaT,2018-03-21 00:00:00,2023-01-31 00:00:00,Senior Non-Executive Independent Director
ITRK.L,Audit,Member,2021-07-01,2138003GAT25WW1RN369,Intertek Group PLC,21,"Ms. Lynda M. Clarizio, J.D.",Lynda,M.,Clarizio,NaT,2021-03-01 00:00:00,2021-03-01 00:00:00,Non-Executive Independent Director
ITRK.L,Audit,Member,2022-05-26,2138003GAT25WW1RN369,Intertek Group PLC,23,Mr. Jez Maiden,Jez,,Maiden,NaT,2022-05-26 00:00:00,2022-05-26 00:00:00,Non-Executive Independent Director
ITRK.L,Audit,Member,2021-02-01,2138003GAT25WW1RN369,Intertek Group PLC,25,Dr. Gillian Ann Rider,Gillian,Ann,Rider,NaT,2015-07-01 00:00:00,2015-07-01 00:00:00,Non-Executive Independent Director
ITRK.L,Audit,Chairman,2021-01-01,2138003GAT25WW1RN369,Intertek Group PLC,26,Mr. Jean-Michel Valette,Jean-Michel,,Valette,NaT,2017-07-01 00:00:00,2017-07-01 00:00:00,Non-Executive Independent Director
IDSI.L,Audit,Chairman,2019-05-30,213800TCZZU84G8Z2M70,International Distributions Services PLC,8,Mr. Michael Findlay,Michael,,Findlay,NaT,2019-05-22 00:00:00,2019-05-22 00:00:00,Non-Executive Independent Director
IDSI.L,Audit,Member,2019-10-01,213800TCZZU84G8Z2M70,International Distributions Services PLC,9,Ms. Baroness (Sarah) Hogg,Baroness,,Hogg,NaT,2019-10-01 00:00:00,2019-10-01 00:00:00,Senior Non-Executive Independent Director
IDSI.L,Audit,Member,,213800TCZZU84G8Z2M70,International Distributions Services PLC,10,Mr. Jourik Hooghe,Jourik,,Hooghe,NaT,2022-06-01 00:00:00,2022-06-01 00:00:00,Non-Executive Independent Director
IDSI.L,Audit,Member,2019-11-01,213800TCZZU84G8Z2M70,International Distributions Services PLC,11,Ms. Lynne M. Peacock,Lynne,M.,Peacock,NaT,2019-11-01 00:00:00,2019-11-01 00:00:00,Non-Executive Independent Director
INVP.L,Audit,Chairman,2017-01-04,2138007Z3U5GWDN3MY22,Investec PLC,8,Ms. Zarina Bibi Mahomed Bassa,Zarina,Bibi Mahomed,Bassa,NaT,2014-11-01 00:00:00,2018-04-01 00:00:00,Senior Independent Non-Executive Director
INVP.L,Audit,Member,2022-05-18,2138007Z3U5GWDN3MY22,Investec PLC,11,Ms. Vanessa Olver,Vanessa,,Olver,NaT,2022-05-01 00:00:00,2022-05-01 00:00:00,Independent Non-Executive Director
INVP.L,Audit,Member,2019-08-09,2138007Z3U5GWDN3MY22,Investec PLC,13,Ms. Philisiwe G. (Phili) Sibiya,Philisiwe,G.,Sibiya,NaT,2019-08-09 00:00:00,2019-08-09 00:00:00,Independent Non-Executive Director
IPO.L,Audit,Chairman,2020-03-10,213800HG22UM138WFG43,IP Group PLC,5,"Dr. Caroline Brown, Ph.D.",Caroline,,Brown,NaT,2019-07-01 00:00:00,2019-07-01 00:00:00,Independent Non-Executive Director
IPO.L,Audit,Member,2018-05-03,213800HG22UM138WFG43,IP Group PLC,6,Mr. Heejae Richard Chae,Heejae,Richard,Chae,NaT,2018-05-03 00:00:00,2018-05-03 00:00:00,Non-Executive Independent Director
IPO.L,Audit,Member,2019-08-01,213800HG22UM138WFG43,IP Group PLC,7,Ms. Aedhmar Hynes,Aedhmar,,Hynes,NaT,2019-08-01 00:00:00,2021-06-01 00:00:00,Non-Executive Senior Independent Director 
IPO.L,Audit,Member,2015-07-30,213800HG22UM138WFG43,IP Group PLC,9,"Dr. Elaine Sullivan, Ph.D.",Elaine,,Sullivan,NaT,2015-07-30 00:00:00,2015-07-30 00:00:00,Non-Executive Independent Director
ITH.L,Audit,Member,,21380057TNFLXPXBIP34,Ithaca Energy PLC,7,Mr. John Mogford,John,,Mogford,NaT,2022-10-31 00:00:00,2022-10-31 00:00:00,Senior Independent Director
ITH.L,Audit,Member,,21380057TNFLXPXBIP34,Ithaca Energy PLC,10,"Mr. Assaf (Assi) Ginzburg, CPA",Assaf,,Ginzburg,NaT,2022-10-31 00:00:00,2022-10-31 00:00:00,Independent Non-Executive Director
ITH.L,Audit,Chairman,,21380057TNFLXPXBIP34,Ithaca Energy PLC,11,Ms. Deborah Jane Gudgeon,Deborah,Jane,Gudgeon,NaT,2022-10-31 00:00:00,2022-10-31 00:00:00,Independent Non-Executive Director
ITV.L,Audit,Member,2019-01-01,ZLECI7ED2QMWFGYCXZ59,ITV PLC,15,Mr. Edward Bonham Carter,Edward,Bonham,Bonham Carter,NaT,2018-10-11 00:00:00,2018-10-11 00:00:00,Senior Non-Executive Independent Director
ITV.L,Audit,Member,2021-11-01,ZLECI7ED2QMWFGYCXZ59,ITV PLC,16,Mr. Graham Cooke,Graham,,Cooke,NaT,2020-05-01 00:00:00,2020-05-01 00:00:00,Non-Executive Independent Director
ITV.L,Audit,Chairman,2018-05-10,ZLECI7ED2QMWFGYCXZ59,ITV PLC,17,Ms. Margaret Ewing,Margaret,,Ewing,NaT,2017-10-31 00:00:00,2017-10-31 00:00:00,Non-Executive Independent Director
ITV.L,Audit,Member,2015-05-16,ZLECI7ED2QMWFGYCXZ59,ITV PLC,18,Ms. Mary E. Harris,Mary,E.,Harris,NaT,2014-07-28 00:00:00,2018-10-11 00:00:00,Non-Executive Independent Director
IWG.L,Audit,Chairman,2019-05-14,2138003LWDII27UTAG52,IWG Plc,5,Ms. Laurie L. Harris,Laurie,L.,Harris,NaT,2019-05-14 00:00:00,2019-05-14 00:00:00,Non-Executive Independent Director
IWG.L,Audit,Member,,2138003LWDII27UTAG52,IWG Plc,6,Ms. Nina Henderson,Nina,,Henderson,NaT,2014-05-20 00:00:00,2014-05-20 00:00:00,Non-Executive Independent Director With Oversight of Employee Engagement And CSR
IWG.L,Audit,Member,2022-12-01,2138003LWDII27UTAG52,IWG Plc,7,Ms. Sophie L'Helias,Sophie,,L'Helias,NaT,2022-12-01 00:00:00,2022-12-01 00:00:00,Non-Executive Independent Director
IWG.L,Audit,Member,2022-05-10,2138003LWDII27UTAG52,IWG Plc,8,Mr. Tarun Lal,Tarun,,Lal,NaT,2022-05-10 00:00:00,2022-05-10 00:00:00,Non-Executive Independent Director
IWG.L,Audit,Member,,2138003LWDII27UTAG52,IWG Plc,9,Dr. Francois Pauly,Francois,,Pauly,NaT,2016-10-14 00:00:00,2017-05-16 00:00:00,Senior Non-Executive Independent Director
JDW.L,Audit,Chairman,2016-10-03,213800CHWARFAAN7UB85,J D Wetherspoon PLC,14,Mr. Harry Michael Charles Morley,Harry,Michael Charles,Morley,NaT,2016-10-03 00:00:00,2016-10-03 00:00:00,Non-Executive Independent Director
JDW.L,Audit,Member,2020-01-01,213800CHWARFAAN7UB85,J D Wetherspoon PLC,15,Mr. Ben Thorne,Ben,,Thorne,NaT,2020-01-01 00:00:00,2021-11-15 00:00:00,Senior Non-Executive Independent Director
JDW.L,Audit,Member,,213800CHWARFAAN7UB85,J D Wetherspoon PLC,16,Ms. Debra van Gene,Debra,,van Gene,NaT,2006-03-01 00:00:00,2006-03-01 00:00:00,Non-Executive Independent Director
JD.L,Audit,Chairman,2021-11-15,213800HROV6Y9MUU8375,JD Sports Fashion PLC,3,Ms. Helen Jane Ashton,Helen,Jane,Ashton,NaT,2021-11-15 00:00:00,2022-07-11 00:00:00,Non-Executive Director
JD.L,Audit,Member,2023-03-09,213800HROV6Y9MUU8375,JD Sports Fashion PLC,4,Mr. Ian Dyson,Ian,,Dyson,NaT,2023-03-09 00:00:00,2023-03-09 00:00:00,Non-Executive Director
JD.L,Audit,Member,2021-09-08,213800HROV6Y9MUU8375,JD Sports Fashion PLC,6,Mr. Bert Hoyt,Bert,,Hoyt,NaT,2021-09-08 00:00:00,2021-09-08 00:00:00,Non-Executive Director
JD.L,Audit,Member,2023-06-01,213800HROV6Y9MUU8375,JD Sports Fashion PLC,10,Mr. Darren M. Shapland,Darren,M.,Shapland,NaT,2023-06-01 00:00:00,2023-06-01 00:00:00,Non-Executive Director
JD.L,Audit,Member,2022-09-13,213800HROV6Y9MUU8375,JD Sports Fashion PLC,11,Ms. Suzi Williams,Suzi,,Williams,NaT,2022-05-16 00:00:00,2022-05-16 00:00:00,Non-Executive Director
JLEN.L,Audit,Member,2021-09-02,213800JWJN54TFBMBI68,JLEN Environmental Assets Group Ltd,2,Mr. Alan Bates,Alan,,Bates,NaT,2021-06-10 00:00:00,2021-06-10 00:00:00,Non-Executive Independent Director
JLEN.L,Audit,Chairman,2021-09-02,213800JWJN54TFBMBI68,JLEN Environmental Assets Group Ltd,3,Ms. Stephanie Coxon,Stephanie,,Coxon,NaT,2020-06-11 00:00:00,2023-04-01 00:00:00,Senior Non-Executive Independent Director
JLEN.L,Audit,Member,2023-04-01,213800JWJN54TFBMBI68,JLEN Environmental Assets Group Ltd,5,Mr. Hans Joern Rieks,Hans,Joern,Rieks,NaT,2019-10-06 00:00:00,2019-10-06 00:00:00,Non-Executive Independent Director
WG.L,Audit,Member,2016-12-01,549300PLYY6I10B6S323,John Wood Group PLC,11,Ms. Jacqui Ferguson,Jacqui,,Ferguson,NaT,2016-12-01 00:00:00,2021-01-01 00:00:00,Non-Executive Independent Director
WG.L,Audit,Chairman,2019-09-01,549300PLYY6I10B6S323,John Wood Group PLC,13,Mr. Adrian Ross Thomas Marsh,Adrian,Ross Thomas,Marsh,NaT,2019-05-10 00:00:00,2021-01-01 00:00:00,Non-Executive Independent Director
WG.L,Audit,Member,2020-08-01,549300PLYY6I10B6S323,John Wood Group PLC,14,Mr. Nigel Mills,Nigel,,Mills,NaT,2020-05-01 00:00:00,2020-06-29 00:00:00,Senior Non-Executive Independent Director
WG.L,Audit,Member,2021-03-31,549300PLYY6I10B6S323,John Wood Group PLC,16,Ms. Susan M. (Sue) Steele,Susan,M.,Steele,NaT,2021-03-31 00:00:00,2021-03-31 00:00:00,Non-Executive Independent Director
JMAT.L,Audit,Member,,2138001AVBSD1HSC6Z10,Johnson Matthey PLC,9,Ms. Rita Forst,Rita,,Forst,NaT,2021-10-04 00:00:00,2021-10-04 00:00:00,Non-Executive Independent Director
JMAT.L,Audit,Member,,2138001AVBSD1HSC6Z10,Johnson Matthey PLC,10,Ms. Jane Veronica Griffiths,Jane,Veronica,Griffiths,NaT,2017-01-01 00:00:00,2017-01-01 00:00:00,Non-Executive Independent Director
JMAT.L,Audit,Member,2023-07-01,2138001AVBSD1HSC6Z10,Johnson Matthey PLC,11,"Ms. Barbara S. Jeremiah, J.D.",Barbara,S.,Jeremiah,NaT,2023-07-01 00:00:00,2023-07-20 00:00:00,Senior Independent Non-Executive Director
JMAT.L,Audit,Member,2019-04-02,2138001AVBSD1HSC6Z10,Johnson Matthey PLC,12,"Ms. Xiaozhi Liu, Ph.D.",Xiaozhi,,Liu,NaT,2019-04-02 00:00:00,2019-04-02 00:00:00,Non-Executive Independent Director
JMAT.L,Audit,Member,,2138001AVBSD1HSC6Z10,Johnson Matthey PLC,14,Mr. John E. O'Higgins,John,E.,O'Higgins,NaT,2017-11-16 00:00:00,2023-07-20 00:00:00,Non-Executive Independent Director
JMAT.L,Audit,Chairman,2020-07-23,2138001AVBSD1HSC6Z10,Johnson Matthey PLC,15,Mr. Douglas Russell (Doug) Webb,Douglas,Russell,Webb,NaT,2019-09-02 00:00:00,2019-09-02 00:00:00,Non-Executive Independent Director
JEDT.L,Audit,Member,,54930049CEWDI46Y3U28,Jpmorgan European Discovery Trust PLC,1,Dr. Marc C. Van Gelder,Marc,C.,Van Gelder,NaT,2016-08-01 00:00:00,2019-10-07 00:00:00,Independent Non-Executive Chairman of the Board
JEDT.L,Audit,Member,,54930049CEWDI46Y3U28,Jpmorgan European Discovery Trust PLC,2,Ms. Suzy Ross,Suzy,,Ross,NaT,2022-03-01 00:00:00,2022-03-01 00:00:00,Independent Non-Executive Director
JEDT.L,Audit,Chairman,2016-01-01,54930049CEWDI46Y3U28,Jpmorgan European Discovery Trust PLC,4,Mr. Nicholas Michael Norman (Nic) Smith,Nicholas,Michael Norman,Smith,NaT,2015-05-01 00:00:00,2019-02-08 00:00:00,Senior Independent Non-Executive Director
JEDT.L,Audit,Member,,54930049CEWDI46Y3U28,Jpmorgan European Discovery Trust PLC,5,Ms. Sarah Watters,Sarah,,Watters,NaT,2021-07-01 00:00:00,2021-07-01 00:00:00,Independent Non-Executive Director
JAM.L,Audit,Member,2020-01-01,549300QNAI4XRPEB4G65,JPMorgan American Investment Trust PLC,1,Dr. Kevin J. Carter,Kevin,J.,Carter,NaT,2014-07-01 00:00:00,2017-05-12 00:00:00,Non-Executive Independent Chairman of the Board
JAM.L,Audit,Chairman,2021-08-31,549300QNAI4XRPEB4G65,JPMorgan American Investment Trust PLC,3,Ms. Claire Binyon,Claire,,Binyon,NaT,2020-06-01 00:00:00,2020-06-01 00:00:00,Non-Executive Independent Director
JAM.L,Audit,Member,2017-01-01,549300QNAI4XRPEB4G65,JPMorgan American Investment Trust PLC,4,Ms. Nadia Manzoor,Nadia,,Manzoor,NaT,2016-06-01 00:00:00,2023-05-18 00:00:00,Senior Non-Executive Independent Director
JAM.L,Audit,Member,2017-05-11,549300QNAI4XRPEB4G65,JPMorgan American Investment Trust PLC,5,Mr. Robert E. Talbut,Robert,E.,Talbut,NaT,2017-05-11 00:00:00,2017-05-11 00:00:00,Non-Executive Independent Director
JMG.L,Audit,Member,2018-12-01,5493001VPQDYH1SSSR77,JPmorgan Emerging Markets Investment Trust PLC,1,Mr. Aidan Lisser,Aidan,,Lisser,NaT,2018-12-01 00:00:00,2022-11-09 00:00:00,Non-Executive Independent Chairman of the Board
JMG.L,Audit,Member,2022-09-01,5493001VPQDYH1SSSR77,JPmorgan Emerging Markets Investment Trust PLC,2,Ms. Zoe Clements,Zoe,,Clements,NaT,2022-09-01 00:00:00,2022-09-01 00:00:00,Non-Executive Independent Director
JMG.L,Audit,Member,2020-09-01,5493001VPQDYH1SSSR77,JPmorgan Emerging Markets Investment Trust PLC,3,Ms. Helena Coles,Helena,,Coles,NaT,2020-09-01 00:00:00,2020-09-01 00:00:00,Non-Executive Independent Director
JMG.L,Audit,Chairman,2020-01-01,5493001VPQDYH1SSSR77,JPmorgan Emerging Markets Investment Trust PLC,4,Mr. Richard George Laing,Richard,George,Laing,NaT,2015-01-15 00:00:00,2015-01-15 00:00:00,Non-Executive Independent Director
JMG.L,Audit,Member,,5493001VPQDYH1SSSR77,JPmorgan Emerging Markets Investment Trust PLC,5,Mr. Ruary Neill,Ruary,,Neill,NaT,2017-01-01 00:00:00,2017-01-01 00:00:00,Non-Executive Independent Director
JMG.L,Audit,Member,,5493001VPQDYH1SSSR77,JPmorgan Emerging Markets Investment Trust PLC,6,Mr. Andrew Page,Andrew,,Page,NaT,2015-01-15 00:00:00,2018-01-01 00:00:00,Senior Non-Executive Independent Director
JGGI.L,Audit,Member,,5493007C3I0O5PJKR078,Jpmorgan Global Growth & Income PLC,1,Mr. Tristan A. P. Hillgarth,Tristan,A. P.,Hillgarth,NaT,2014-11-12 00:00:00,2021-10-27 00:00:00,Non-Executive Independent Chairman of the Board
JGGI.L,Audit,Member,2022-11-03,5493007C3I0O5PJKR078,Jpmorgan Global Growth & Income PLC,2,Mr. Mick Brewis,Mick,,Brewis,NaT,2022-09-01 00:00:00,2022-09-01 00:00:00,Non-Executive Independent Director
JGGI.L,Audit,Member,2022-11-03,5493007C3I0O5PJKR078,Jpmorgan Global Growth & Income PLC,3,Ms. Jane Margaret Lewis,Jane,Margaret,Lewis,NaT,2022-09-01 00:00:00,2022-11-03 00:00:00,Senior Non-Executive Independent Director
JGGI.L,Audit,Member,2022-11-03,5493007C3I0O5PJKR078,Jpmorgan Global Growth & Income PLC,5,Mr. Neil Rogan,Neil,,Rogan,NaT,2022-09-01 00:00:00,2022-09-01 00:00:00,Non-Executive Independent Director
JGGI.L,Audit,Chairman,2020-11-04,5493007C3I0O5PJKR078,Jpmorgan Global Growth & Income PLC,6,Mrs. Sarah Whitney,Sarah,,Whitney,NaT,2020-01-01 00:00:00,2020-01-01 00:00:00,Non-Executive Independent Director
JII.L,Audit,Member,,549300OHW8R1C2WBYK02,JPMorgan Indian Investment Trust PLC,1,Mrs. Rosemary Margaret Morgan,Rosemary,Margaret,Morgan,NaT,2013-12-01 00:00:00,2020-02-05 00:00:00,Non-Executive Independent Chairman of the Board
JII.L,Audit,Member,2020-09-01,549300OHW8R1C2WBYK02,JPMorgan Indian Investment Trust PLC,2,Mrs. Vanessa Donegan,Vanessa,,Donegan,NaT,2020-02-01 00:00:00,2020-02-01 00:00:00,Non-Executive Independent Director
JII.L,Audit,Chairman,2015-01-01,549300OHW8R1C2WBYK02,JPMorgan Indian Investment Trust PLC,3,Mr. Jasper Rayner Augusto Judd,Jasper,Rayner Augusto,Judd,NaT,2015-01-01 00:00:00,2015-01-01 00:00:00,Non-Executive Independent Director
JII.L,Audit,Member,2022-02-03,549300OHW8R1C2WBYK02,JPMorgan Indian Investment Trust PLC,4,Mr. Khozem Merchant,Khozem,,Merchant,NaT,2022-02-03 00:00:00,2022-02-03 00:00:00,Non-Executive Independent Director
JII.L,Audit,Member,2020-02-01,549300OHW8R1C2WBYK02,JPMorgan Indian Investment Trust PLC,5,Mr. Jeremy Whitley,Jeremy,,Whitley,NaT,2020-02-01 00:00:00,2022-02-03 00:00:00,Senior Non-Executive Independent Director
JFJ.L,Audit,Member,2018-12-13,549300JZW3TSSO464R15,JPMorgan Japanese Investment Trust PLC,1,Mr. Christopher (Chris) Samuel,Christopher,,Samuel,NaT,2014-12-19 00:00:00,2018-12-13 00:00:00,Non-Executive Independent Chairman of the Board
JFJ.L,Audit,Member,2022-01-13,549300JZW3TSSO464R15,JPMorgan Japanese Investment Trust PLC,2,Ms. Anna Dingley,Anna,,Dingley,NaT,2022-01-13 00:00:00,2022-01-13 00:00:00,Non-Executive Director
JFJ.L,Audit,Member,2022-10-31,549300JZW3TSSO464R15,JPMorgan Japanese Investment Trust PLC,3,Ms. Sally (Nee Leeson) Duckworth,Sally,,Duckworth,NaT,2022-10-31 00:00:00,2022-10-31 00:00:00,Non-Executive Director
JFJ.L,Audit,Chairman,2018-12-13,549300JZW3TSSO464R15,JPMorgan Japanese Investment Trust PLC,4,Mr. Stephen Cohen,Stephen,,Cohen,NaT,2016-12-20 00:00:00,2016-12-20 00:00:00,Non-Executive Independent Director
JFJ.L,Audit,Member,2018-12-13,549300JZW3TSSO464R15,JPMorgan Japanese Investment Trust PLC,5,Ms. Sally Macdonald,Sally,,Macdonald,NaT,2018-12-13 00:00:00,2023-01-12 00:00:00,Senior Non-Executive Independent Director
JFJ.L,Audit,Member,,549300JZW3TSSO464R15,JPMorgan Japanese Investment Trust PLC,6,Mr. George Olcott,George,,Olcott,NaT,2016-12-20 00:00:00,2016-12-20 00:00:00,Non-Executive Independent Director
JTC.L,Audit,Member,2022-03-24,213800DVUG4KLF2ASK33,JTC PLC,33,Ms. Kate Beauchamp,Kate,,Beauchamp,NaT,2022-03-24 00:00:00,2022-03-24 00:00:00,Non-Executive Independent Director
JTC.L,Audit,Member,2018-03-08,213800DVUG4KLF2ASK33,JTC PLC,34,Mr. Michael Gray,Michael,,Gray,NaT,2018-03-08 00:00:00,2018-03-08 00:00:00,Non-Executive Independent Director
JTC.L,Audit,Chairman,2018-03-08,213800DVUG4KLF2ASK33,JTC PLC,35,Mr. Dermot C. A. Mathias,Dermot,C. A.,Mathias,NaT,2018-03-08 00:00:00,2018-03-08 00:00:00,Senior Non-Executive Independent Director
JTC.L,Audit,Member,2020-03-03,213800DVUG4KLF2ASK33,JTC PLC,36,"Dr. Erika Schraner, Ph.D.",Erika,,Schraner,NaT,2019-11-18 00:00:00,2019-11-18 00:00:00,Non-Executive Independent Director
JUP.L,Audit,Member,2021-09-01,5493003DJ1G01IMQ7S28,Jupiter Fund Management PLC,8,"Ms. Dale Murray, CBE",Dale,,Murray,NaT,2021-09-01 00:00:00,2021-09-01 00:00:00,Independent Non-Executive Director
JUP.L,Audit,Chairman,2023-04-26,5493003DJ1G01IMQ7S28,Jupiter Fund Management PLC,10,Mr. Karl Sternberg,Karl,,Sternberg,NaT,2016-07-22 00:00:00,2016-07-22 00:00:00,Independent Non-Executive Director
JUP.L,Audit,Member,2023-04-26,5493003DJ1G01IMQ7S28,Jupiter Fund Management PLC,11,Mr. Roger Yates,Roger,,Yates,NaT,2017-10-01 00:00:00,2021-05-06 00:00:00,Senior Independent Non-Executive Director
JUSTJ.L,Audit,Member,2023-05-09,5493006456YEZEELRR90,Just Group PLC,15,Ms. Mary Teresa Kerrigan,Mary,Teresa,Kerrigan,NaT,2022-02-01 00:00:00,2022-02-01 00:00:00,Independent Non-Executive Director
JUSTJ.L,Audit,Chairman,2023-07-12,5493006456YEZEELRR90,Just Group PLC,16,Ms. Mary Phibbs,Mary,,Phibbs,NaT,2023-01-05 00:00:00,2023-05-09 00:00:00,Senior Independent Non-Executive Director
JUSTJ.L,Audit,Member,2021-03-01,5493006456YEZEELRR90,Just Group PLC,17,Ms. Kalpana Shah,Kalpana,,Shah,NaT,2021-03-01 00:00:00,2021-03-01 00:00:00,Independent Non-Executive Director 
KNOS.L,Audit,Member,2021-09-23,213800H2PQMIF3OVZY47,Kainos Group PLC,10,"Ms. Rosaleen Blair, CBE",Rosaleen,,Blair,NaT,2021-01-01 00:00:00,2021-01-01 00:00:00,Independent Non-Executive Director
KNOS.L,Audit,Member,2019-11-28,213800H2PQMIF3OVZY47,Kainos Group PLC,11,Ms. Katie Davis,Katie,,Davis,NaT,2019-11-20 00:00:00,2019-11-20 00:00:00,Independent Non-Executive Director
KNOS.L,Audit,Chairman,,213800H2PQMIF3OVZY47,Kainos Group PLC,12,Mr. Andrew (Andy) Malpass,Andrew,,Malpass,NaT,2015-07-10 00:00:00,2015-07-10 00:00:00,Independent Non-Executive Director
KLR.L,Audit,Chairman,2019-01-01,549300QO4MBL43UHSN10,Keller Group PLC,11,Ms. Paula Bell,Paula,,Bell,NaT,2018-09-01 00:00:00,2018-09-01 00:00:00,Non-Executive Independent Director
KLR.L,Audit,Member,2022-02-01,549300QO4MBL43UHSN10,Keller Group PLC,12,Mr. Juan G. Hernandez Abrams,Juan,G.,Hernandez Abrams,NaT,2022-02-01 00:00:00,2022-02-01 00:00:00,Non-Executive Independent Director
KLR.L,Audit,Member,2017-06-01,549300QO4MBL43UHSN10,Keller Group PLC,13,Ms. Eva Lindqvist,Eva,,Lindqvist,NaT,2017-06-01 00:00:00,2017-06-01 00:00:00,Non-Executive Independent Director
KLR.L,Audit,Member,,549300QO4MBL43UHSN10,Keller Group PLC,14,Ms. Baroness Kate Rock,Baroness,Kate,Rock,NaT,2018-09-01 00:00:00,2020-01-01 00:00:00,Senior Non-Executive Independent Director
KGF.L,Audit,Member,2020-11-02,213800KBMEV7I92FY281,Kingfisher PLC,9,"Mrs. Catherine Annick Caroline Bradley, CBE",Catherine,Annick Caroline,Bradley,NaT,2020-11-02 00:00:00,2021-01-29 00:00:00,Senior Independent Non-Executive Director
KGF.L,Audit,Chairman,2019-01-01,213800KBMEV7I92FY281,Kingfisher PLC,10,Mr. Jeff Carr,Jeff,,Carr,NaT,2018-06-01 00:00:00,2018-06-01 00:00:00,Non-Executive Independent Director
